task,controller,seed,robot_count,steps,duration_s,success,aggregation_score,collision_rate,convergence_time_s,cooperative_push_fraction,coverage_fraction,coverage_score,coverage_time_s,delivery_time_s,largest_component_fraction,maximum_simultaneous_pushers,mean_command_effort,mean_distance_traveled_m,mean_nearest_neighbor_distance_m,mean_push_alignment,object_goal_distance_m,peak_coverage_fraction,polarization,pusher_utilization,swarm_radius_m,transport_progress,transport_score
aggregation,stationary,1012,12,450,45.00000000000037,0,0.33700849166311003,0.0,45.00000000000037,,,,,,0.4166666666666667,,0.0,0.0,,,,,0.1315655157926699,,1.3118945919883105,,
aggregation,stationary,1013,12,450,45.00000000000037,0,0.6566923538541689,0.0,45.00000000000037,,,,,,0.9166666666666666,,0.0,0.0,,,,,0.13456268336085042,,1.1365029443685495,,
aggregation,stationary,1014,12,450,45.00000000000037,0,0.5631218442491501,0.0,45.00000000000037,,,,,,0.75,,0.0,0.0,,,,,0.2335064339772367,,1.0861791757907104,,
aggregation,stationary,1015,12,450,45.00000000000037,0,0.27238889590276283,0.0,45.00000000000037,,,,,,0.3333333333333333,,0.0,0.0,,,,,0.31516684992735366,,1.4700940026494431,,
aggregation,stationary,1016,12,450,45.00000000000037,0,0.2836308075921087,0.0,45.00000000000037,,,,,,0.3333333333333333,,0.0,0.0,,,,,0.2970616452197809,,1.3459452214090841,,
aggregation,stationary,1017,12,450,45.00000000000037,0,0.3094078527410382,0.0,45.00000000000037,,,,,,0.4166666666666667,,0.0,0.0,,,,,0.29786201610392665,,1.6400527904666466,,
aggregation,stationary,1018,12,450,45.00000000000037,0,0.43175737333229014,0.0,45.00000000000037,,,,,,0.5833333333333334,,0.0,0.0,,,,,0.21192793131022922,,1.3654293510483728,,
aggregation,stationary,1019,12,450,45.00000000000037,0,0.22056428284686502,0.0,45.00000000000037,,,,,,0.25,,0.0,0.0,,,,,0.20385766810480227,,1.492048777805218,,
aggregation,learned,1000,12,68,6.799999999999992,1,0.7632025423290342,0.0,4.899999999999999,,,,,,1.0,,0.6990936827294447,1.4156572278801605,,,,,0.7336755249969923,,0.7709663729643893,,
aggregation,learned,1001,12,91,9.099999999999984,1,0.7700201576766552,0.0,7.19999999999999,,,,,,1.0,,0.7395190816104382,2.038724564057716,,,,,0.6723171422863128,,0.7357708865659689,,
aggregation,learned,1002,12,204,20.40000000000002,1,0.7762364281018692,0.0,18.499999999999993,,,,,,1.0,,0.7221493771700027,4.4672235615201545,,,,,0.6935269378111473,,0.704888776369774,,
aggregation,learned,1003,12,450,45.00000000000037,0,0.7022543850857005,0.0,45.00000000000037,,,,,,0.9166666666666666,,0.7149887774954137,9.357051845799427,,,,,0.933834830011146,,0.8306841815883487,,
aggregation,learned,1004,12,280,28.000000000000128,1,0.7702143320219011,0.0005952380952380953,26.1000000000001,,,,,,1.0,,0.7410425323338554,6.164686982865267,,,,,0.8833601287596464,,0.734338276062785,,
aggregation,learned,1005,12,222,22.200000000000045,1,0.7783518184362183,0.0015015015015015015,20.30000000000002,,,,,,1.0,,0.7133897409223017,4.577088627714557,,,,,0.870426950815178,,0.6935422027972202,,
aggregation,learned,1006,12,67,6.699999999999992,1,0.7818849097032373,0.0,4.799999999999999,,,,,,1.0,,0.6922996022710859,1.4196648136285033,,,,,0.8367604428725776,,0.6777577649201261,,
aggregation,learned,1007,12,450,45.00000000000037,0,0.6876091403182994,0.0,45.00000000000037,,,,,,0.9166666666666666,,0.716692574395809,9.406752698358192,,,,,0.8957179478301152,,0.917660589491439,,
aggregation,learned,1008,12,313,31.300000000000175,1,0.7883788560262119,0.001597444089456869,29.400000000000148,,,,,,1.0,,0.7256418400358835,6.727731592758107,,,,,0.882470678314732,,0.6464948825967518,,
aggregation,learned,1009,12,450,45.00000000000037,0,0.398532898643429,0.0,45.00000000000037,,,,,,0.5833333333333334,,0.7363910787877562,9.899837222092295,,,,,0.9506126035472905,,1.8139314846556795,,
aggregation,learned,1010,12,450,45.00000000000037,0,0.412732236043272,0.0,45.00000000000037,,,,,,0.5833333333333334,,0.7208395896012035,9.476733785177354,,,,,0.9459398651106915,,1.5932266261012795,,
aggregation,learned,1011,12,261,26.1000000000001,1,0.7955763536784032,0.0,24.200000000000074,,,,,,1.0,,0.6934375232384016,5.241291953608765,,,,,0.7957907742065055,,0.615341771705718,,
aggregation,learned,1012,12,69,6.8999999999999915,1,0.7652057847338692,0.0,4.999999999999998,,,,,,1.0,,0.6564491182309753,1.311910843929664,,,,,0.8958689260029014,,0.7604744962733786,,
aggregation,learned,1013,12,263,26.300000000000104,1,0.7934049528886407,0.0019011406844106464,24.400000000000077,,,,,,1.0,,0.7036647950609459,5.371232599089912,,,,,0.8643281696834851,,0.6236762691265929,,
aggregation,learned,1014,12,71,7.099999999999991,1,0.7917305801539973,0.004694835680751174,5.1999999999999975,,,,,,1.0,,0.7227353380038696,1.4910958240358638,,,,,0.3181651278075358,,0.629268126156873,,
aggregation,learned,1015,12,143,14.299999999999965,1,0.77082420587493,0.0,12.399999999999972,,,,,,1.0,,0.7119760008699169,3.063011574346499,,,,,0.8380342947168293,,0.7317134174855102,,
aggregation,learned,1016,12,188,18.799999999999997,1,0.7543981812450025,0.0,16.89999999999997,,,,,,1.0,,0.6984726355253795,3.876937753581006,,,,,0.8886636685507366,,0.8186595326156494,,
aggregation,learned,1017,12,291,29.100000000000144,1,0.7673478560571596,0.0,27.200000000000117,,,,,,1.0,,0.7138886147640454,6.085393756823822,,,,,0.9171264572356006,,0.7493953403711374,,
aggregation,learned,1018,12,119,11.899999999999974,1,0.7577829577686823,0.0,9.99999999999998,,,,,,1.0,,0.7024675940225684,2.4576040204467664,,,,,0.8996590292869456,,0.8000099633752127,,
aggregation,learned,1019,12,262,26.200000000000102,1,0.7728350285772284,0.0,24.300000000000075,,,,,,1.0,,0.717497441183363,5.64101330261886,,,,,0.9656599569136314,,0.7216492196624381,,
coverage,rules,1000,16,74,7.39999999999999,1,,0.0033783783783783786,,,0.6018518518518519,0.6011761761761761,5.999999999999995,,,,0.7061362505422988,1.6121945951734302,0.8895137099252529,,,0.625,,,,,
coverage,rules,1001,16,83,8.299999999999986,1,,0.018072289156626505,,,0.6111111111111112,0.6074966532797859,6.8999999999999915,,,,0.7093429991567188,1.8232876007769303,0.9439870415093603,,,0.6296296296296297,,,,,
coverage,rules,1002,16,212,21.20000000000003,1,,0.008254716981132075,,,0.6111111111111112,0.6094601677148848,19.80000000000001,,,,0.6730107555534792,4.190355198621388,0.9081974690945305,,,0.6481481481481481,,,,,
coverage,rules,1003,16,97,9.699999999999982,1,,0.007731958762886598,,,0.6111111111111112,0.6095647193585338,8.299999999999986,,,,0.6976094723843903,2.062454933401768,0.9160573873133876,,,0.6388888888888888,,,,,
coverage,rules,1004,16,124,12.399999999999972,1,,0.01310483870967742,,,0.625,0.6223790322580646,10.999999999999977,,,,0.6884533802328451,2.566773596156771,0.9257393316360683,,,0.6435185185185185,,,,,
coverage,rules,1005,16,97,9.699999999999982,1,,0.010309278350515464,,,0.6157407407407407,0.6136788850706376,8.299999999999986,,,,0.6936675331923076,2.0396311194204806,0.9310752399207516,,,0.6388888888888888,,,,,
coverage,rules,1006,16,162,16.19999999999996,1,,0.0023148148148148147,,,0.6296296296296297,0.6291666666666667,14.799999999999963,,,,0.673400317801098,3.2076886208768154,0.9817917497000248,,,0.6296296296296297,,,,,
coverage,rules,1007,16,100,9.99999999999998,1,,0.0125,,,0.625,0.6225,8.599999999999985,,,,0.71020056702621,2.202113649984011,0.9541504680193662,,,0.625,,,,,
coverage,rules,1008,16,189,18.9,1,,0.0026455026455026454,,,0.625,0.6244708994708995,17.49999999999998,,,,0.675880462923607,3.770740356297877,0.9303852545563579,,,0.6296296296296297,,,,,
coverage,rules,1009,16,105,10.499999999999979,1,,0.0035714285714285713,,,0.6342592592592593,0.6335449735449736,9.099999999999984,,,,0.6845292798463786,2.149928663363355,0.9775417171013805,,,0.6342592592592593,,,,,
coverage,rules,1010,16,90,8.999999999999984,1,,0.019444444444444445,,,0.6157407407407407,0.6118518518518518,7.599999999999989,,,,0.7010479496976328,1.9325899701835567,0.9750764602338875,,,0.6203703703703703,,,,,
coverage,rules,1011,16,193,19.300000000000004,1,,0.0,,,0.6064814814814815,0.6064814814814815,17.899999999999984,,,,0.6729327188135797,3.8160486733308336,0.8973661018181017,,,0.6342592592592593,,,,,
coverage,rules,1012,16,84,8.399999999999986,1,,0.023809523809523808,,,0.625,0.6202380952380953,6.999999999999991,,,,0.7047866385024746,1.8192966163407196,0.9643943420298888,,,0.6342592592592593,,,,,
coverage,rules,1013,16,177,17.69999999999998,1,,0.0049435028248587575,,,0.6157407407407407,0.6147520401757689,16.29999999999996,,,,0.6791182277812525,3.5661684081103044,0.9494655554538945,,,0.6481481481481481,,,,,
coverage,rules,1014,16,203,20.30000000000002,1,,0.01416256157635468,,,0.6203703703703703,0.6175378580550994,18.9,,,,0.6737553150364349,4.022696575133531,0.9125605819130276,,,0.6435185185185185,,,,,
coverage,rules,1015,16,122,12.199999999999973,1,,0.00819672131147541,,,0.6018518518518519,0.6002125075895568,10.799999999999978,,,,0.6903269545874897,2.540883044689105,0.9768369543661772,,,0.6435185185185185,,,,,
