task,controller,seed,robot_count,steps,duration_s,success,collision_rate,cooperative_push_fraction,delivery_time_s,maximum_simultaneous_pushers,mean_command_effort,mean_distance_traveled_m,mean_push_alignment,object_goal_distance_m,pusher_utilization,transport_progress,transport_score
transport,rules,1015,2,350,35.00000000000023,0,0.7542857142857143,0.0,35.00000000000023,2.0,0.6133457056409422,4.424771318506516,0.22800578104819808,3.0,0.3985714285714286,0.0,-0.07542857142857144
transport,rules,1016,2,350,35.00000000000023,0,0.6314285714285715,0.0,35.00000000000023,2.0,0.608982185463296,4.546807800040323,0.18806100529039346,3.0,0.4,0.0,-0.06314285714285715
transport,rules,1017,2,350,35.00000000000023,0,0.21142857142857144,0.0,35.00000000000023,2.0,0.6097553227724946,4.98431851593465,0.31776734082583197,3.0,0.42714285714285716,0.0,-0.021142857142857144
transport,rules,1018,2,350,35.00000000000023,0,0.6428571428571429,0.0,35.00000000000023,2.0,0.6068782788161371,4.414594901207623,0.2280983740300945,3.0,0.42428571428571427,0.0,-0.0642857142857143
transport,rules,1019,2,350,35.00000000000023,0,0.7571428571428571,0.0,35.00000000000023,2.0,0.6069405596076399,4.193814507144029,0.19723248131818175,3.0,0.42714285714285716,0.0,-0.07571428571428572
transport,rules,1000,3,350,35.00000000000023,0,0.3438095238095238,0.0,35.00000000000023,3.0,0.6556230467938139,5.656564461108641,0.3252692870038508,3.0,0.38761904761904764,0.0,-0.03438095238095238
transport,rules,1001,3,350,35.00000000000023,0,0.6447619047619048,0.08571428571428572,35.00000000000023,3.0,0.6624887835916715,5.218360819945819,0.3321296204892723,2.426714497486627,0.47619047619047616,0.19109516750445765,0.1266189770282672
transport,rules,1002,3,350,35.00000000000023,0,0.4104761904761905,0.04,35.00000000000023,3.0,0.6519786083768685,5.459066676072216,0.3211444117072781,2.730008283187157,0.4228571428571429,0.08999723893761435,0.0489496198899953
transport,rules,1003,3,350,35.00000000000023,0,0.439047619047619,0.002857142857142857,35.00000000000023,3.0,0.6371634217273633,4.917373137376543,0.27520206276202586,2.9875465310561933,0.46,0.004151156314602278,-0.03975360559015963
transport,rules,1004,3,350,35.00000000000023,0,0.40476190476190477,0.0,35.00000000000023,3.0,0.6439479830335184,5.411993340655731,0.2961327851501889,3.0,0.4038095238095238,0.0,-0.04047619047619048
transport,rules,1005,3,350,35.00000000000023,0,0.4419047619047619,0.005714285714285714,35.00000000000023,3.0,0.6601175217705239,5.430302161008014,0.325632223647495,2.971889273915463,0.4438095238095238,0.009370242028178932,-0.034820234162297264
transport,rules,1006,3,350,35.00000000000023,0,0.4523809523809524,0.0,35.00000000000023,3.0,0.6374906729229574,4.945298895428571,0.2763119633254496,3.0,0.43333333333333335,0.0,-0.045238095238095244
transport,rules,1007,3,350,35.00000000000023,0,0.5247619047619048,0.045714285714285714,35.00000000000023,3.0,0.6530008667118267,5.251213107974315,0.30425077391446964,2.7024881369114047,0.4838095238095238,0.09917062102953178,0.0466944305533413
transport,rules,1008,3,350,35.00000000000023,0,0.43333333333333335,0.008571428571428572,35.00000000000023,3.0,0.6344459261223104,4.878684417913617,0.2498623695045233,2.9569155862967977,0.47714285714285715,0.014361471234400791,-0.028971862098932544
transport,rules,1009,3,350,35.00000000000023,0,0.4552380952380952,0.008571428571428572,35.00000000000023,3.0,0.6433724044797071,5.130960103680445,0.3084693490857793,2.9583744446924234,0.4238095238095238,0.0138751851025255,-0.03164862442128402
transport,rules,1010,3,350,35.00000000000023,0,0.46095238095238095,0.0,35.00000000000023,3.0,0.6359104902804783,5.20637042725464,0.2798647680039163,3.0,0.42952380952380953,0.0,-0.0460952380952381
transport,rules,1011,3,350,35.00000000000023,0,0.47523809523809524,0.008571428571428572,35.00000000000023,3.0,0.6437963650934054,5.285427543736932,0.28583318713029143,2.9610167928811886,0.42,0.012994402372937142,-0.03452940715087238
transport,rules,1012,3,350,35.00000000000023,0,0.47714285714285715,0.0,35.00000000000023,3.0,0.6385519627475502,4.956560542985733,0.2778313291126508,3.0,0.4361904761904762,0.0,-0.047714285714285716
transport,rules,1013,3,350,35.00000000000023,0,0.4247619047619048,0.017142857142857144,35.00000000000023,3.0,0.6568141043179573,5.248276112681004,0.3457685319878705,2.9191472743693856,0.41904761904761906,0.0269509085435381,-0.01552528193265238
transport,rules,1014,3,350,35.00000000000023,0,0.5,0.0,35.00000000000023,3.0,0.6550642332348218,5.344497254534492,0.33226789362584647,3.0,0.4514285714285714,0.0,-0.05
transport,rules,1015,3,350,35.00000000000023,0,0.5076190476190476,0.05714285714285714,35.00000000000023,3.0,0.6502214749682359,5.084479255558938,0.31335161190554417,2.612225980633719,0.4961904761904762,0.12925800645542695,0.0784961016935222
transport,rules,1016,3,350,35.00000000000023,0,0.29714285714285715,0.02,35.00000000000023,3.0,0.6495334520687503,5.631403462653598,0.36084419842314014,2.897343138733825,0.4095238095238095,0.034218953755391635,0.004504668041105917
transport,rules,1017,3,350,35.00000000000023,0,0.4142857142857143,0.011428571428571429,35.00000000000023,3.0,0.6491785369172008,5.054124680478931,0.3026611186471659,2.9488042091885878,0.4419047619047619,0.017065263603804115,-0.024363307824767318
transport,rules,1018,3,350,35.00000000000023,0,0.45714285714285713,0.04285714285714286,35.00000000000023,3.0,0.6448160269911916,5.072408150867379,0.30260876354756755,2.7113319084623977,0.46,0.09622269717920073,0.05050841146491502
transport,rules,1019,3,350,35.00000000000023,0,0.41619047619047617,0.05714285714285714,35.00000000000023,3.0,0.6658811518820729,5.337218993559373,0.3390640546030549,2.6201712769934904,0.4066666666666667,0.12660957433550324,0.08499052671645563
transport,rules,1000,4,350,35.00000000000023,0,0.41785714285714287,0.04285714285714286,35.00000000000023,4.0,0.6810263334989286,5.867703116787698,0.3683386848114504,2.74289276488858,0.4042857142857143,0.08570241170380666,0.04391669741809237
transport,rules,1001,4,350,35.00000000000023,0,0.5007142857142857,0.017142857142857144,35.00000000000023,4.0,0.6676365245122945,5.645451099784411,0.3108061208013805,2.9164666712538656,0.37,0.02784444291537813,-0.02222698565605044
transport,rules,1002,4,350,35.00000000000023,0,0.4328571428571429,0.022857142857142857,35.00000000000023,4.0,0.6790393768071238,5.803459294556586,0.4031245981371316,2.86359464504038,0.4085714285714286,0.045468451653206565,0.0021827373674922768
transport,rules,1003,4,350,35.00000000000023,0,0.4592857142857143,0.07714285714285714,35.00000000000023,4.0,0.6854404229852262,6.1025797806118955,0.40728740980401085,2.479034643055214,0.4328571428571429,0.17365511898159536,0.12772654755302393
transport,rules,1004,4,350,35.00000000000023,0,0.45714285714285713,0.02,35.00000000000023,4.0,0.6850416777818721,5.941813865014976,0.3695895051039384,2.909953228372513,0.3992857142857143,0.030015590542495585,-0.01569869517179013
transport,rules,1005,4,350,35.00000000000023,0,0.7214285714285714,0.017142857142857144,35.00000000000023,4.0,0.6481155068285875,4.655116577263792,0.2572617314933514,2.9217079237867853,0.38571428571428573,0.02609735873773822,-0.04604549840511893
transport,rules,1006,4,350,35.00000000000023,0,0.49857142857142855,0.04,35.00000000000023,4.0,0.6784684086013458,5.5560221526015585,0.3830719417220725,2.754051883950757,0.47714285714285715,0.08198270534974761,0.03212556249260475
transport,rules,1007,4,350,35.00000000000023,0,0.6435714285714286,0.06285714285714286,35.00000000000023,4.0,0.6834876539831058,5.436430574814131,0.34634285218296695,2.5947743009672766,0.4392857142857143,0.13507523301090785,0.07071809015376498
transport,rules,1008,4,350,35.00000000000023,0,0.5064285714285715,0.08571428571428572,35.00000000000023,4.0,0.6926355336730962,6.21793940067723,0.41579320294814903,2.4491777296019888,0.37214285714285716,0.18360742346600378,0.13296456632314663
transport,rules,1009,4,350,35.00000000000023,0,0.5814285714285714,0.02,35.00000000000023,4.0,0.6755990580690876,5.457405210080688,0.3278057880031779,2.905042132132327,0.4057142857142857,0.031652622622557636,-0.026490234520299506
transport,rules,1010,4,350,35.00000000000023,0,0.38571428571428573,0.011428571428571429,35.00000000000023,4.0,0.6796008566699006,6.022473914022102,0.4552234242933358,2.9486486177780242,0.4164285714285714,0.017117127407325294,-0.02145430116410328
transport,rules,1011,4,350,35.00000000000023,0,0.6314285714285715,0.022857142857142857,35.00000000000023,4.0,0.6627152360796328,5.157915923170877,0.2628436514055819,2.8889214033545834,0.36142857142857143,0.03702619888180558,-0.02611665826105157
transport,rules,1012,4,350,35.00000000000023,0,0.42142857142857143,0.02,35.00000000000023,4.0,0.667215722453254,5.7589697538944495,0.3512958339988379,2.8768599627932816,0.405,0.04104667906890613,-0.0010961780739510152
transport,rules,1013,4,350,35.00000000000023,0,0.4857142857142857,0.014285714285714285,35.00000000000023,4.0,0.6797258983775252,5.682570091175278,0.3594767967743537,2.937660026481627,0.39714285714285713,0.020779991172791057,-0.027791437398637514
transport,rules,1014,4,350,35.00000000000023,0,0.41285714285714287,0.025714285714285714,35.00000000000023,4.0,0.670447244126588,5.776926866792773,0.41875182841243797,2.8850628526003645,0.4064285714285714,0.038312382466545114,-0.0029733318191691727
transport,rules,1015,4,350,35.00000000000023,0,0.5885714285714285,0.03428571428571429,35.00000000000023,4.0,0.6624651159346047,5.202490888444046,0.3014338345408625,2.803147566794881,0.42928571428571427,0.06561747773503968,0.0067603348778968175
transport,rules,1016,4,350,35.00000000000023,0,0.535,0.02,35.00000000000023,4.0,0.6681316706758097,5.360351339541019,0.31866149046487297,2.904370503365473,0.3871428571428571,0.031876498878175674,-0.02162350112182433
transport,rules,1017,4,350,35.00000000000023,0,0.47214285714285714,0.054285714285714284,35.00000000000023,4.0,0.6769974608286322,5.720930064634871,0.38661210874226576,2.6815926502808796,0.41214285714285714,0.10613578323970685,0.05892149752542113
transport,rules,1018,4,350,35.00000000000023,0,0.5978571428571429,0.005714285714285714,35.00000000000023,4.0,0.6626045021119089,5.434871525129218,0.33630439359870457,2.974127705693356,0.40714285714285714,0.00862409810221465,-0.05116161618349964
transport,rules,1019,4,350,35.00000000000023,0,0.47714285714285715,0.06,35.00000000000023,4.0,0.687908837736081,6.106385468648328,0.4133135959047063,2.662602410187134,0.3942857142857143,0.11246586327095531,0.0647515775566696
transport,rules,1000,6,350,35.00000000000023,0,0.4319047619047619,0.15714285714285714,35.00000000000023,5.0,0.7301326924119756,6.9644560183748645,0.5469038028520281,2.0459213436861132,0.3719047619047619,0.31802621877129555,0.27483574258081933
transport,rules,1001,6,350,35.00000000000023,0,0.5852380952380952,0.06571428571428571,35.00000000000023,5.0,0.7056612838562406,6.360586212147048,0.46114823560856855,2.6301965687889943,0.3157142857142857,0.12326781040366852,0.06474400087985899
transport,rules,1002,6,350,35.00000000000023,0,0.5104761904761905,0.17714285714285713,35.00000000000023,5.0,0.7240645266027292,6.8307734677545895,0.5154812904453149,1.9944283545906791,0.35,0.3351905484697736,0.2841429294221545
transport,rules,1003,6,350,35.00000000000023,0,0.6028571428571429,0.12571428571428572,35.00000000000023,5.0,0.7131481970033838,6.319813594666251,0.4609088649939612,2.211970236447047,0.35904761904761906,0.26267658785098436,0.20239087356527008
transport,rules,1004,6,350,35.00000000000023,0,0.5238095238095238,0.12285714285714286,35.00000000000023,6.0,0.7139139479885916,6.604308126579439,0.49491080616484157,2.316584165348165,0.3314285714285714,0.22780527821727825,0.17542432583632586
transport,rules,1005,6,350,35.00000000000023,0,0.5661904761904762,0.10857142857142857,35.00000000000023,5.0,0.7104759784255258,6.364306261756201,0.47786475775333503,2.378801840376727,0.3423809523809524,0.20706605320775762,0.15044700558871
transport,rules,1006,6,350,35.00000000000023,0,0.4595238095238095,0.13714285714285715,35.00000000000023,5.0,0.7109840279032836,6.668264273062802,0.5432772776993994,2.258797246772387,0.35428571428571426,0.2470675844092044,0.20111520345682343
transport,rules,1007,6,350,35.00000000000023,0,0.6104761904761905,0.04285714285714286,35.00000000000023,5.0,0.7076394353604916,6.204221276882424,0.4533746851725558,2.7906929976044377,0.31761904761904763,0.06976900079852077,0.008721381750901723
transport,rules,1008,6,350,35.00000000000023,0,0.4676190476190476,0.1742857142857143,35.00000000000023,5.0,0.7380172618535967,7.0741580335971195,0.6043619903928137,1.9393664733506837,0.3414285714285714,0.3535445088831054,0.3067826041212006
transport,rules,1009,6,350,35.00000000000023,0,0.57,0.11142857142857143,35.00000000000023,5.0,0.7102056207889458,6.223524080160996,0.4691779123157883,2.3917098197499427,0.3357142857142857,0.2027633934166858,0.14576339341668582
transport,rules,1010,6,350,35.00000000000023,0,0.53,0.10285714285714286,35.00000000000023,6.0,0.7034341184325805,6.415367915738901,0.47279333511024063,2.5314473333560312,0.3304761904761905,0.15618422221465622,0.10318422221465622
transport,rules,1011,6,350,35.00000000000023,0,0.4623809523809524,0.05142857142857143,35.00000000000023,6.0,0.7038118410549276,6.4907130595756835,0.5037705221646388,2.765650259351867,0.4023809523809524,0.07811658021604428,0.03187848497794904
transport,rules,1012,6,350,35.00000000000023,0,0.4104761904761905,0.10857142857142857,35.00000000000023,6.0,0.7148512511139237,6.834956977187498,0.5370710990055372,2.3814749206600987,0.37285714285714283,0.20617502644663377,0.16512740739901471
transport,rules,1013,6,350,35.00000000000023,0,0.45571428571428574,0.09714285714285714,35.00000000000023,6.0,0.7082316756297339,6.418708743775486,0.521366489886183,2.493738918854376,0.3914285714285714,0.168753693715208,0.12318226514377942
transport,rules,1014,6,350,35.00000000000023,0,0.4461904761904762,0.11142857142857143,35.00000000000023,5.0,0.7180059396370941,6.84100709345802,0.48965293439493496,2.370638785817936,0.3466666666666667,0.2097870713940213,0.1651680237749737
transport,rules,1015,6,350,35.00000000000023,0,0.5190476190476191,0.14857142857142858,35.00000000000023,6.0,0.7196896348604708,6.665499415680461,0.5084755756656613,2.106916787999463,0.33714285714285713,0.297694404000179,0.2457896420954171
transport,rules,1016,6,350,35.00000000000023,0,0.6161904761904762,0.12285714285714286,35.00000000000023,5.0,0.714318805771575,6.421485813444718,0.4415238734759801,2.2243950377444586,0.31666666666666665,0.2585349874185138,0.19691593979946614
transport,rules,1017,6,350,35.00000000000023,0,0.439047619047619,0.1,35.00000000000023,5.0,0.7153642741028817,6.672500232817818,0.5445365927301519,2.523333469575253,0.3404761904761905,0.15888884347491572,0.11498408157015381
transport,rules,1018,6,350,35.00000000000023,0,0.559047619047619,0.12571428571428572,35.00000000000023,5.0,0.7093730449709776,6.4293281333268375,0.49128669362251925,2.292761487727772,0.3271428571428571,0.23574617075740933,0.17984140885264743
transport,rules,1019,6,350,35.00000000000023,0,0.5961904761904762,0.07714285714285714,35.00000000000023,5.0,0.7129895129674401,6.352358257968432,0.48113387233786864,2.541918908653872,0.3352380952380952,0.15269369711537595,0.09307464949632832
transport,rules,1000,8,337,33.70000000000021,1,0.4762611275964392,0.4540059347181009,33.70000000000021,7.0,0.7583201369546638,7.345067925900622,0.6852871302006764,0.3332380411512723,0.3323442136498516,0.8889206529495759,0.841294540189932
transport,rules,1001,8,350,35.00000000000023,0,0.4442857142857143,0.2857142857142857,35.00000000000023,6.0,0.7412422496877228,7.370984177189904,0.6567959515020928,1.54442326867481,0.3335714285714286,0.4851922437750633,0.4407636723464919
transport,rules,1002,8,350,35.00000000000023,0,0.4307142857142857,0.3942857142857143,35.00000000000023,6.0,0.7516409552457809,7.576749483818778,0.6992022467636727,0.709310835290315,0.335,0.7635630549032283,0.7204916263317998
transport,rules,1003,8,350,35.00000000000023,0,0.3917857142857143,0.4057142857142857,35.00000000000023,5.0,0.7687165046162213,7.924966364917271,0.7376333082696147,0.6351986274505987,0.2960714285714286,0.7882671241831337,0.7490885527545623
transport,rules,1004,8,246,24.60000000000008,1,0.3201219512195122,0.5691056910569106,24.60000000000008,5.0,0.8000607894936375,6.1952979977194085,0.8319499018744041,0.3452500046065383,0.3282520325203252,0.8849166651311539,0.8529044700092027
transport,rules,1005,8,277,27.700000000000124,1,0.37364620938628157,0.5415162454873647,27.700000000000124,5.0,0.7749766742182237,6.416190631833399,0.7872185040679831,0.3490386907656391,0.3407039711191336,0.8836537697447869,0.8462891488061588
transport,rules,1006,8,350,35.00000000000023,0,0.44035714285714284,0.4142857142857143,35.00000000000023,6.0,0.7482161448643111,7.490824609213356,0.7023387366088052,0.72369673689869,0.3325,0.7587677543671033,0.714732040081389
transport,rules,1007,8,188,18.799999999999997,1,0.2752659574468085,0.776595744680851,18.799999999999997,4.0,0.8032155954436195,4.919674514097203,0.895735140309448,0.34390341665248947,0.35638297872340424,0.8853655277825035,0.8578389320378227
transport,rules,1008,8,171,17.099999999999973,1,0.1739766081871345,0.7894736842105263,17.099999999999973,5.0,0.8216069660803456,4.721384516536279,0.9225901879000515,0.3452208525910252,0.3611111111111111,0.8849263824696583,0.8675287216509449
transport,rules,1009,8,350,35.00000000000023,0,0.4475,0.37714285714285717,35.00000000000023,6.0,0.7618287333352389,7.787242917573605,0.7037386912229256,0.6828894130371679,0.33107142857142857,0.7723701956542773,0.7276201956542774
transport,rules,1010,8,350,35.00000000000023,0,0.4275,0.33714285714285713,35.00000000000023,6.0,0.748392070237306,7.622345432773844,0.6955633273425749,1.0610223733434734,0.3221428571428571,0.6463258755521755,0.6035758755521755
